,country,people,obesity_levels,obesity_level_percentage,date
105,Austria, general ,normal ,18.5-24.99,1999
125,Austria, females ,normal ,18.5-24.99,1999
133,Austria, females ,overweight ,>=25.0,1999
137,Austria, females ,pre-obese ,25.0-29.99,1999
121,Austria, general ,underweight ,<18.5,1999
141,Austria, females ,underweight ,<18.5,1999
145,Austria, males ,normal ,18.5-24.99,1999
117,Austria, general ,pre-obese ,25.0-29.99,1999
149,Austria, males ,obese ,>=30.0,1999
129,Austria, females ,obese ,>=30.0,1999
113,Austria, general ,overweight ,>=25.0,1999
153,Austria, males ,overweight ,>=25.0,1999
157,Austria, males ,pre-obese ,25.0-29.99,1999
109,Austria, general ,obese ,>=30.0,1999
161,Austria, males ,underweight ,<18.5,1999
130,Austria, females ,obese ,>=30.0,2006
154,Austria, males ,overweight ,>=25.0,2006
142,Austria, females ,underweight ,<18.5,2006
138,Austria, females ,pre-obese ,25.0-29.99,2006
158,Austria, males ,pre-obese ,25.0-29.99,2006
162,Austria, males ,underweight ,<18.5,2006
150,Austria, males ,obese ,>=30.0,2006
146,Austria, males ,normal ,18.5-24.99,2006
134,Austria, females ,overweight ,>=25.0,2006
126,Austria, females ,normal ,18.5-24.99,2006
114,Austria, general ,overweight ,>=25.0,2006
106,Austria, general ,normal ,18.5-24.99,2006
118,Austria, general ,pre-obese ,25.0-29.99,2006
110,Austria, general ,obese ,>=30.0,2006
122,Austria, general ,underweight ,<18.5,2006
127,Austria, females ,normal ,18.5-24.99,2007
115,Austria, general ,overweight ,>=25.0,2007
155,Austria, males ,overweight ,>=25.0,2007
147,Austria, males ,normal ,18.5-24.99,2007
143,Austria, females ,underweight ,<18.5,2007
119,Austria, general ,pre-obese ,25.0-29.99,2007
159,Austria, males ,pre-obese ,25.0-29.99,2007
151,Austria, males ,obese ,>=30.0,2007
139,Austria, females ,pre-obese ,25.0-29.99,2007
123,Austria, general ,underweight ,<18.5,2007
135,Austria, females ,overweight ,>=25.0,2007
163,Austria, males ,underweight ,<18.5,2007
107,Austria, general ,normal ,18.5-24.99,2007
131,Austria, females ,obese ,>=30.0,2007
111,Austria, general ,obese ,>=30.0,2007
160,Austria, males ,pre-obese ,25.0-29.99,2008
156,Austria, males ,overweight ,>=25.0,2008
108,Austria, general ,normal ,18.5-24.99,2008
116,Austria, general ,overweight ,>=25.0,2008
152,Austria, males ,obese ,>=30.0,2008
148,Austria, males ,normal ,18.5-24.99,2008
128,Austria, females ,normal ,18.5-24.99,2008
144,Austria, females ,underweight ,<18.5,2008
120,Austria, general ,pre-obese ,25.0-29.99,2008
140,Austria, females ,pre-obese ,25.0-29.99,2008
136,Austria, females ,overweight ,>=25.0,2008
124,Austria, general ,underweight ,<18.5,2008
132,Austria, females ,obese ,>=30.0,2008
112,Austria, general ,obese ,>=30.0,2008
164,Austria, males ,underweight ,<18.5,2008
