,country,people,obesity_levels,obesity_level_percentage,date
133,Austria, females ,overweight ,>=25.0,1999
149,Austria, males ,obese ,>=30.0,1999
129,Austria, females ,obese ,>=30.0,1999
113,Austria, general ,overweight ,>=25.0,1999
153,Austria, males ,overweight ,>=25.0,1999
109,Austria, general ,obese ,>=30.0,1999
130,Austria, females ,obese ,>=30.0,2006
154,Austria, males ,overweight ,>=25.0,2006
150,Austria, males ,obese ,>=30.0,2006
134,Austria, females ,overweight ,>=25.0,2006
114,Austria, general ,overweight ,>=25.0,2006
110,Austria, general ,obese ,>=30.0,2006
115,Austria, general ,overweight ,>=25.0,2007
155,Austria, males ,overweight ,>=25.0,2007
151,Austria, males ,obese ,>=30.0,2007
135,Austria, females ,overweight ,>=25.0,2007
131,Austria, females ,obese ,>=30.0,2007
111,Austria, general ,obese ,>=30.0,2007
156,Austria, males ,overweight ,>=25.0,2008
116,Austria, general ,overweight ,>=25.0,2008
152,Austria, males ,obese ,>=30.0,2008
136,Austria, females ,overweight ,>=25.0,2008
132,Austria, females ,obese ,>=30.0,2008
112,Austria, general ,obese ,>=30.0,2008
