,country,people,obesity_levels,obesity_level_percentage,date
2603,United States of America, general ,normal ,18.5-24.99,1999
2635,United States of America, females ,normal ,18.5-24.99,1999
2623,United States of America, general ,pre-obese ,25.0-29.99,1999
2639,United States of America, females ,obese ,>=30.0,1999
2647,United States of America, females ,overweight ,>=25.0,1999
2655,United States of America, females ,pre-obese ,25.0-29.99,1999
2661,United States of America, females ,underweight ,<18.5,1999
2665,United States of America, males ,normal ,18.5-24.99,1999
2669,United States of America, males ,obese ,>=30.0,1999
2615,United States of America, general ,overweight ,>=25.0,1999
2677,United States of America, males ,overweight ,>=25.0,1999
2685,United States of America, males ,pre-obese ,25.0-29.99,1999
2607,United States of America, general ,obese ,>=30.0,1999
2691,United States of America, males ,underweight ,<18.5,1999
2631,United States of America, general ,underweight ,<18.5,1999
2666,United States of America, males ,normal ,18.5-24.99,2000
2632,United States of America, general ,underweight ,<18.5,2000
2662,United States of America, females ,underweight ,<18.5,2000
2678,United States of America, males ,overweight ,>=25.0,2000
2656,United States of America, females ,pre-obese ,25.0-29.99,2000
2640,United States of America, females ,obese ,>=30.0,2000
2686,United States of America, males ,pre-obese ,25.0-29.99,2000
2636,United States of America, females ,normal ,18.5-24.99,2000
2692,United States of America, males ,underweight ,<18.5,2000
2670,United States of America, males ,obese ,>=30.0,2000
2648,United States of America, females ,overweight ,>=25.0,2000
2604,United States of America, general ,normal ,18.5-24.99,2000
2616,United States of America, general ,overweight ,>=25.0,2000
2624,United States of America, general ,pre-obese ,25.0-29.99,2000
2608,United States of America, general ,obese ,>=30.0,2000
2617,United States of America, general ,overweight ,>=25.0,2001
2663,United States of America, females ,underweight ,<18.5,2001
2667,United States of America, males ,normal ,18.5-24.99,2001
2649,United States of America, females ,overweight ,>=25.0,2001
2693,United States of America, males ,underweight ,<18.5,2001
2671,United States of America, males ,obese ,>=30.0,2001
2609,United States of America, general ,obese ,>=30.0,2001
2641,United States of America, females ,obese ,>=30.0,2001
2679,United States of America, males ,overweight ,>=25.0,2001
2637,United States of America, females ,normal ,18.5-24.99,2001
2625,United States of America, general ,pre-obese ,25.0-29.99,2001
2687,United States of America, males ,pre-obese ,25.0-29.99,2001
2633,United States of America, general ,underweight ,<18.5,2001
2605,United States of America, general ,normal ,18.5-24.99,2001
2657,United States of America, females ,pre-obese ,25.0-29.99,2001
2658,United States of America, females ,pre-obese ,25.0-29.99,2002
2606,United States of America, general ,normal ,18.5-24.99,2002
2610,United States of America, general ,obese ,>=30.0,2002
2672,United States of America, males ,obese ,>=30.0,2002
2668,United States of America, males ,normal ,18.5-24.99,2002
2664,United States of America, females ,underweight ,<18.5,2002
2688,United States of America, males ,pre-obese ,25.0-29.99,2002
2680,United States of America, males ,overweight ,>=25.0,2002
2694,United States of America, males ,underweight ,<18.5,2002
2642,United States of America, females ,obese ,>=30.0,2002
2618,United States of America, general ,overweight ,>=25.0,2002
2638,United States of America, females ,normal ,18.5-24.99,2002
2634,United States of America, general ,underweight ,<18.5,2002
2650,United States of America, females ,overweight ,>=25.0,2002
2626,United States of America, general ,pre-obese ,25.0-29.99,2002
2619,United States of America, general ,overweight ,>=25.0,2003
2643,United States of America, females ,obese ,>=30.0,2003
2673,United States of America, males ,obese ,>=30.0,2003
2611,United States of America, general ,obese ,>=30.0,2003
2681,United States of America, males ,overweight ,>=25.0,2003
2651,United States of America, females ,overweight ,>=25.0,2003
2659,United States of America, females ,pre-obese ,25.0-29.99,2003
2627,United States of America, general ,pre-obese ,25.0-29.99,2003
2689,United States of America, males ,pre-obese ,25.0-29.99,2003
2620,United States of America, general ,overweight ,>=25.0,2004
2682,United States of America, males ,overweight ,>=25.0,2004
2652,United States of America, females ,overweight ,>=25.0,2004
2690,United States of America, males ,pre-obese ,25.0-29.99,2004
2628,United States of America, general ,pre-obese ,25.0-29.99,2004
2674,United States of America, males ,obese ,>=30.0,2004
2660,United States of America, females ,pre-obese ,25.0-29.99,2004
2644,United States of America, females ,obese ,>=30.0,2004
2612,United States of America, general ,obese ,>=30.0,2004
2683,United States of America, males ,overweight ,>=25.0,2005
2675,United States of America, males ,obese ,>=30.0,2005
2645,United States of America, females ,obese ,>=30.0,2005
2613,United States of America, general ,obese ,>=30.0,2005
2653,United States of America, females ,overweight ,>=25.0,2005
2621,United States of America, general ,overweight ,>=25.0,2005
2629,United States of America, general ,pre-obese ,25.0-29.99,2005
2676,United States of America, males ,obese ,>=30.0,2006
2684,United States of America, males ,overweight ,>=25.0,2006
2622,United States of America, general ,overweight ,>=25.0,2006
2646,United States of America, females ,obese ,>=30.0,2006
2614,United States of America, general ,obese ,>=30.0,2006
2654,United States of America, females ,overweight ,>=25.0,2006
2630,United States of America, general ,pre-obese ,25.0-29.99,2006
