,country,people,obesity_levels,obesity_level_percentage,date
2639,United States of America, females ,obese ,>=30.0,1999
2669,United States of America, males ,obese ,>=30.0,1999
2607,United States of America, general ,obese ,>=30.0,1999
2640,United States of America, females ,obese ,>=30.0,2000
2670,United States of America, males ,obese ,>=30.0,2000
2608,United States of America, general ,obese ,>=30.0,2000
2671,United States of America, males ,obese ,>=30.0,2001
2609,United States of America, general ,obese ,>=30.0,2001
2641,United States of America, females ,obese ,>=30.0,2001
2610,United States of America, general ,obese ,>=30.0,2002
2672,United States of America, males ,obese ,>=30.0,2002
2642,United States of America, females ,obese ,>=30.0,2002
2643,United States of America, females ,obese ,>=30.0,2003
2673,United States of America, males ,obese ,>=30.0,2003
2611,United States of America, general ,obese ,>=30.0,2003
2674,United States of America, males ,obese ,>=30.0,2004
2644,United States of America, females ,obese ,>=30.0,2004
2612,United States of America, general ,obese ,>=30.0,2004
2675,United States of America, males ,obese ,>=30.0,2005
2645,United States of America, females ,obese ,>=30.0,2005
2613,United States of America, general ,obese ,>=30.0,2005
2676,United States of America, males ,obese ,>=30.0,2006
2646,United States of America, females ,obese ,>=30.0,2006
2614,United States of America, general ,obese ,>=30.0,2006
