,country,people,obesity_levels,obesity_level_percentage,date
2647,United States of America, females ,overweight ,>=25.0,1999
2615,United States of America, general ,overweight ,>=25.0,1999
2677,United States of America, males ,overweight ,>=25.0,1999
2678,United States of America, males ,overweight ,>=25.0,2000
2648,United States of America, females ,overweight ,>=25.0,2000
2616,United States of America, general ,overweight ,>=25.0,2000
2617,United States of America, general ,overweight ,>=25.0,2001
2649,United States of America, females ,overweight ,>=25.0,2001
2679,United States of America, males ,overweight ,>=25.0,2001
2680,United States of America, males ,overweight ,>=25.0,2002
2618,United States of America, general ,overweight ,>=25.0,2002
2650,United States of America, females ,overweight ,>=25.0,2002
2619,United States of America, general ,overweight ,>=25.0,2003
2681,United States of America, males ,overweight ,>=25.0,2003
2651,United States of America, females ,overweight ,>=25.0,2003
2620,United States of America, general ,overweight ,>=25.0,2004
2682,United States of America, males ,overweight ,>=25.0,2004
2652,United States of America, females ,overweight ,>=25.0,2004
2683,United States of America, males ,overweight ,>=25.0,2005
2653,United States of America, females ,overweight ,>=25.0,2005
2621,United States of America, general ,overweight ,>=25.0,2005
2684,United States of America, males ,overweight ,>=25.0,2006
2622,United States of America, general ,overweight ,>=25.0,2006
2654,United States of America, females ,overweight ,>=25.0,2006
