,country,people,obesity_levels,obesity_level_percentage,date
2639,United States of America, females ,obese ,>=30.0,1999
2647,United States of America, females ,overweight ,>=25.0,1999
2669,United States of America, males ,obese ,>=30.0,1999
2615,United States of America, general ,overweight ,>=25.0,1999
2677,United States of America, males ,overweight ,>=25.0,1999
2607,United States of America, general ,obese ,>=30.0,1999
2678,United States of America, males ,overweight ,>=25.0,2000
2640,United States of America, females ,obese ,>=30.0,2000
2670,United States of America, males ,obese ,>=30.0,2000
2648,United States of America, females ,overweight ,>=25.0,2000
2616,United States of America, general ,overweight ,>=25.0,2000
2608,United States of America, general ,obese ,>=30.0,2000
2617,United States of America, general ,overweight ,>=25.0,2001
2649,United States of America, females ,overweight ,>=25.0,2001
2671,United States of America, males ,obese ,>=30.0,2001
2609,United States of America, general ,obese ,>=30.0,2001
2641,United States of America, females ,obese ,>=30.0,2001
2679,United States of America, males ,overweight ,>=25.0,2001
2610,United States of America, general ,obese ,>=30.0,2002
2672,United States of America, males ,obese ,>=30.0,2002
2680,United States of America, males ,overweight ,>=25.0,2002
2642,United States of America, females ,obese ,>=30.0,2002
2618,United States of America, general ,overweight ,>=25.0,2002
2650,United States of America, females ,overweight ,>=25.0,2002
2619,United States of America, general ,overweight ,>=25.0,2003
2643,United States of America, females ,obese ,>=30.0,2003
2673,United States of America, males ,obese ,>=30.0,2003
2611,United States of America, general ,obese ,>=30.0,2003
2681,United States of America, males ,overweight ,>=25.0,2003
2651,United States of America, females ,overweight ,>=25.0,2003
2620,United States of America, general ,overweight ,>=25.0,2004
2682,United States of America, males ,overweight ,>=25.0,2004
2652,United States of America, females ,overweight ,>=25.0,2004
2674,United States of America, males ,obese ,>=30.0,2004
2644,United States of America, females ,obese ,>=30.0,2004
2612,United States of America, general ,obese ,>=30.0,2004
2683,United States of America, males ,overweight ,>=25.0,2005
2675,United States of America, males ,obese ,>=30.0,2005
2645,United States of America, females ,obese ,>=30.0,2005
2613,United States of America, general ,obese ,>=30.0,2005
2653,United States of America, females ,overweight ,>=25.0,2005
2621,United States of America, general ,overweight ,>=25.0,2005
2676,United States of America, males ,obese ,>=30.0,2006
2684,United States of America, males ,overweight ,>=25.0,2006
2622,United States of America, general ,overweight ,>=25.0,2006
2646,United States of America, females ,obese ,>=30.0,2006
2614,United States of America, general ,obese ,>=30.0,2006
2654,United States of America, females ,overweight ,>=25.0,2006
