,country,people,obesity_levels,obesity_level_percentage,date
37,Australia, general ,normal ,18.5-24.99,1999
75,Australia, females ,underweight ,<18.5,1999
64,Australia, females ,overweight ,>=25.0,1999
101,Australia, males ,underweight ,<18.5,1999
79,Australia, males ,normal ,18.5-24.99,1999
57,Australia, females ,obese ,>=30.0,1999
83,Australia, males ,obese ,>=30.0,1999
53,Australia, females ,normal ,18.5-24.99,1999
51,Australia, general ,underweight ,<18.5,1999
49,Australia, general ,pre-obese ,25.0-29.99,1999
71,Australia, females ,pre-obese ,25.0-29.99,1999
97,Australia, males ,pre-obese ,25.0-29.99,1999
39,Australia, general ,obese ,>=30.0,1999
44,Australia, general ,overweight ,>=25.0,1999
90,Australia, males ,overweight ,>=25.0,1999
84,Australia, males ,obese ,>=30.0,2000
38,Australia, general ,normal ,18.5-24.99,2000
65,Australia, females ,overweight ,>=25.0,2000
40,Australia, general ,obese ,>=30.0,2000
76,Australia, females ,underweight ,<18.5,2000
80,Australia, males ,normal ,18.5-24.99,2000
98,Australia, males ,pre-obese ,25.0-29.99,2000
58,Australia, females ,obese ,>=30.0,2000
91,Australia, males ,overweight ,>=25.0,2000
102,Australia, males ,underweight ,<18.5,2000
54,Australia, females ,normal ,18.5-24.99,2000
72,Australia, females ,pre-obese ,25.0-29.99,2000
45,Australia, general ,overweight ,>=25.0,2000
50,Australia, general ,pre-obese ,25.0-29.99,2000
52,Australia, general ,underweight ,<18.5,2000
92,Australia, males ,overweight ,>=25.0,2001
85,Australia, males ,obese ,>=30.0,2001
66,Australia, females ,overweight ,>=25.0,2001
59,Australia, females ,obese ,>=30.0,2001
41,Australia, general ,obese ,>=30.0,2001
46,Australia, general ,overweight ,>=25.0,2001
67,Australia, females ,overweight ,>=25.0,2004
93,Australia, males ,overweight ,>=25.0,2004
42,Australia, general ,obese ,>=30.0,2004
60,Australia, females ,obese ,>=30.0,2004
86,Australia, males ,obese ,>=30.0,2004
47,Australia, general ,overweight ,>=25.0,2004
68,Australia, females ,overweight ,>=25.0,2005
94,Australia, males ,overweight ,>=25.0,2005
43,Australia, general ,obese ,>=30.0,2005
61,Australia, females ,obese ,>=30.0,2005
87,Australia, males ,obese ,>=30.0,2005
48,Australia, general ,overweight ,>=25.0,2005
88,Australia, males ,obese ,>=30.0,2007
103,Australia, males ,underweight ,<18.5,2007
69,Australia, females ,overweight ,>=25.0,2007
81,Australia, males ,normal ,18.5-24.99,2007
99,Australia, males ,pre-obese ,25.0-29.99,2007
77,Australia, females ,underweight ,<18.5,2007
62,Australia, females ,obese ,>=30.0,2007
73,Australia, females ,pre-obese ,25.0-29.99,2007
55,Australia, females ,normal ,18.5-24.99,2007
95,Australia, males ,overweight ,>=25.0,2007
100,Australia, males ,pre-obese ,25.0-29.99,2008
70,Australia, females ,overweight ,>=25.0,2008
89,Australia, males ,obese ,>=30.0,2008
82,Australia, males ,normal ,18.5-24.99,2008
78,Australia, females ,underweight ,<18.5,2008
74,Australia, females ,pre-obese ,25.0-29.99,2008
63,Australia, females ,obese ,>=30.0,2008
56,Australia, females ,normal ,18.5-24.99,2008
96,Australia, males ,overweight ,>=25.0,2008
104,Australia, males ,underweight ,<18.5,2008
