,country,people,obesity_levels,obesity_level_percentage,date
57,Australia, females ,obese ,>=30.0,1999
83,Australia, males ,obese ,>=30.0,1999
39,Australia, general ,obese ,>=30.0,1999
84,Australia, males ,obese ,>=30.0,2000
40,Australia, general ,obese ,>=30.0,2000
58,Australia, females ,obese ,>=30.0,2000
85,Australia, males ,obese ,>=30.0,2001
59,Australia, females ,obese ,>=30.0,2001
41,Australia, general ,obese ,>=30.0,2001
42,Australia, general ,obese ,>=30.0,2004
60,Australia, females ,obese ,>=30.0,2004
86,Australia, males ,obese ,>=30.0,2004
43,Australia, general ,obese ,>=30.0,2005
61,Australia, females ,obese ,>=30.0,2005
87,Australia, males ,obese ,>=30.0,2005
88,Australia, males ,obese ,>=30.0,2007
62,Australia, females ,obese ,>=30.0,2007
89,Australia, males ,obese ,>=30.0,2008
63,Australia, females ,obese ,>=30.0,2008
