,country,people,obesity_levels,obesity_level_percentage,date
64,Australia, females ,overweight ,>=25.0,1999
44,Australia, general ,overweight ,>=25.0,1999
90,Australia, males ,overweight ,>=25.0,1999
65,Australia, females ,overweight ,>=25.0,2000
91,Australia, males ,overweight ,>=25.0,2000
45,Australia, general ,overweight ,>=25.0,2000
92,Australia, males ,overweight ,>=25.0,2001
66,Australia, females ,overweight ,>=25.0,2001
46,Australia, general ,overweight ,>=25.0,2001
67,Australia, females ,overweight ,>=25.0,2004
93,Australia, males ,overweight ,>=25.0,2004
47,Australia, general ,overweight ,>=25.0,2004
68,Australia, females ,overweight ,>=25.0,2005
94,Australia, males ,overweight ,>=25.0,2005
48,Australia, general ,overweight ,>=25.0,2005
69,Australia, females ,overweight ,>=25.0,2007
95,Australia, males ,overweight ,>=25.0,2007
70,Australia, females ,overweight ,>=25.0,2008
96,Australia, males ,overweight ,>=25.0,2008
