,country,people,obesity_levels,obesity_level_percentage,date
64,Australia, females ,overweight ,>=25.0,1999
57,Australia, females ,obese ,>=30.0,1999
83,Australia, males ,obese ,>=30.0,1999
39,Australia, general ,obese ,>=30.0,1999
44,Australia, general ,overweight ,>=25.0,1999
90,Australia, males ,overweight ,>=25.0,1999
84,Australia, males ,obese ,>=30.0,2000
65,Australia, females ,overweight ,>=25.0,2000
40,Australia, general ,obese ,>=30.0,2000
58,Australia, females ,obese ,>=30.0,2000
91,Australia, males ,overweight ,>=25.0,2000
45,Australia, general ,overweight ,>=25.0,2000
92,Australia, males ,overweight ,>=25.0,2001
85,Australia, males ,obese ,>=30.0,2001
66,Australia, females ,overweight ,>=25.0,2001
59,Australia, females ,obese ,>=30.0,2001
41,Australia, general ,obese ,>=30.0,2001
46,Australia, general ,overweight ,>=25.0,2001
67,Australia, females ,overweight ,>=25.0,2004
93,Australia, males ,overweight ,>=25.0,2004
42,Australia, general ,obese ,>=30.0,2004
60,Australia, females ,obese ,>=30.0,2004
86,Australia, males ,obese ,>=30.0,2004
47,Australia, general ,overweight ,>=25.0,2004
68,Australia, females ,overweight ,>=25.0,2005
94,Australia, males ,overweight ,>=25.0,2005
43,Australia, general ,obese ,>=30.0,2005
61,Australia, females ,obese ,>=30.0,2005
87,Australia, males ,obese ,>=30.0,2005
48,Australia, general ,overweight ,>=25.0,2005
88,Australia, males ,obese ,>=30.0,2007
69,Australia, females ,overweight ,>=25.0,2007
62,Australia, females ,obese ,>=30.0,2007
95,Australia, males ,overweight ,>=25.0,2007
70,Australia, females ,overweight ,>=25.0,2008
89,Australia, males ,obese ,>=30.0,2008
63,Australia, females ,obese ,>=30.0,2008
96,Australia, males ,overweight ,>=25.0,2008
