,country,people,obesity_levels,obesity_level_percentage,date
370,Canada, females ,obese ,>=30.0,1999
391,Canada, males ,obese ,>=30.0,1999
347,Canada, general ,normal ,18.5-24.99,2000
376,Canada, females ,overweight ,>=25.0,2000
367,Canada, females ,normal ,18.5-24.99,2000
381,Canada, females ,pre-obese ,25.0-29.99,2000
364,Canada, general ,underweight ,<18.5,2000
385,Canada, females ,underweight ,<18.5,2000
360,Canada, general ,pre-obese ,25.0-29.99,2000
388,Canada, males ,normal ,18.5-24.99,2000
355,Canada, general ,overweight ,>=25.0,2000
397,Canada, males ,overweight ,>=25.0,2000
402,Canada, males ,pre-obese ,25.0-29.99,2000
350,Canada, general ,obese ,>=30.0,2000
406,Canada, males ,underweight ,<18.5,2000
392,Canada, males ,obese ,>=30.0,2000
371,Canada, females ,obese ,>=30.0,2000
389,Canada, males ,normal ,18.5-24.99,2001
393,Canada, males ,obese ,>=30.0,2001
386,Canada, females ,underweight ,<18.5,2001
398,Canada, males ,overweight ,>=25.0,2001
382,Canada, females ,pre-obese ,25.0-29.99,2001
407,Canada, males ,underweight ,<18.5,2001
403,Canada, males ,pre-obese ,25.0-29.99,2001
372,Canada, females ,obese ,>=30.0,2001
377,Canada, females ,overweight ,>=25.0,2001
365,Canada, general ,underweight ,<18.5,2001
348,Canada, general ,normal ,18.5-24.99,2001
368,Canada, females ,normal ,18.5-24.99,2001
361,Canada, general ,pre-obese ,25.0-29.99,2001
351,Canada, general ,obese ,>=30.0,2001
356,Canada, general ,overweight ,>=25.0,2001
394,Canada, males ,obese ,>=30.0,2002
352,Canada, general ,obese ,>=30.0,2002
399,Canada, males ,overweight ,>=25.0,2002
373,Canada, females ,obese ,>=30.0,2002
378,Canada, females ,overweight ,>=25.0,2002
357,Canada, general ,overweight ,>=25.0,2002
353,Canada, general ,obese ,>=30.0,2003
395,Canada, males ,obese ,>=30.0,2003
349,Canada, general ,normal ,18.5-24.99,2003
404,Canada, males ,pre-obese ,25.0-29.99,2003
400,Canada, males ,overweight ,>=25.0,2003
390,Canada, males ,normal ,18.5-24.99,2003
358,Canada, general ,overweight ,>=25.0,2003
374,Canada, females ,obese ,>=30.0,2003
366,Canada, general ,underweight ,<18.5,2003
379,Canada, females ,overweight ,>=25.0,2003
369,Canada, females ,normal ,18.5-24.99,2003
383,Canada, females ,pre-obese ,25.0-29.99,2003
408,Canada, males ,underweight ,<18.5,2003
362,Canada, general ,pre-obese ,25.0-29.99,2003
387,Canada, females ,underweight ,<18.5,2003
396,Canada, males ,obese ,>=30.0,2004
380,Canada, females ,overweight ,>=25.0,2004
401,Canada, males ,overweight ,>=25.0,2004
354,Canada, general ,obese ,>=30.0,2004
375,Canada, females ,obese ,>=30.0,2004
405,Canada, males ,pre-obese ,25.0-29.99,2004
359,Canada, general ,overweight ,>=25.0,2004
384,Canada, females ,pre-obese ,25.0-29.99,2004
363,Canada, general ,pre-obese ,25.0-29.99,2004
