,country,people,obesity_levels,obesity_level_percentage,date
376,Canada, females ,overweight ,>=25.0,2000
355,Canada, general ,overweight ,>=25.0,2000
397,Canada, males ,overweight ,>=25.0,2000
398,Canada, males ,overweight ,>=25.0,2001
377,Canada, females ,overweight ,>=25.0,2001
356,Canada, general ,overweight ,>=25.0,2001
399,Canada, males ,overweight ,>=25.0,2002
378,Canada, females ,overweight ,>=25.0,2002
357,Canada, general ,overweight ,>=25.0,2002
400,Canada, males ,overweight ,>=25.0,2003
358,Canada, general ,overweight ,>=25.0,2003
379,Canada, females ,overweight ,>=25.0,2003
380,Canada, females ,overweight ,>=25.0,2004
401,Canada, males ,overweight ,>=25.0,2004
359,Canada, general ,overweight ,>=25.0,2004
