,country,people,obesity_levels,obesity_level_percentage,date
370,Canada, females ,obese ,>=30.0,1999
391,Canada, males ,obese ,>=30.0,1999
376,Canada, females ,overweight ,>=25.0,2000
355,Canada, general ,overweight ,>=25.0,2000
397,Canada, males ,overweight ,>=25.0,2000
350,Canada, general ,obese ,>=30.0,2000
392,Canada, males ,obese ,>=30.0,2000
371,Canada, females ,obese ,>=30.0,2000
393,Canada, males ,obese ,>=30.0,2001
398,Canada, males ,overweight ,>=25.0,2001
372,Canada, females ,obese ,>=30.0,2001
377,Canada, females ,overweight ,>=25.0,2001
351,Canada, general ,obese ,>=30.0,2001
356,Canada, general ,overweight ,>=25.0,2001
394,Canada, males ,obese ,>=30.0,2002
352,Canada, general ,obese ,>=30.0,2002
399,Canada, males ,overweight ,>=25.0,2002
373,Canada, females ,obese ,>=30.0,2002
378,Canada, females ,overweight ,>=25.0,2002
357,Canada, general ,overweight ,>=25.0,2002
353,Canada, general ,obese ,>=30.0,2003
395,Canada, males ,obese ,>=30.0,2003
400,Canada, males ,overweight ,>=25.0,2003
358,Canada, general ,overweight ,>=25.0,2003
374,Canada, females ,obese ,>=30.0,2003
379,Canada, females ,overweight ,>=25.0,2003
396,Canada, males ,obese ,>=30.0,2004
380,Canada, females ,overweight ,>=25.0,2004
401,Canada, males ,overweight ,>=25.0,2004
354,Canada, general ,obese ,>=30.0,2004
375,Canada, females ,obese ,>=30.0,2004
359,Canada, general ,overweight ,>=25.0,2004
