,country,people,obesity_levels,obesity_level_percentage,date
0,American Samoa, adults ,obese ,>=30.0,2004
1,American Samoa, adults ,obese ,>=30.0,2007
2,American Samoa, adults ,overweight ,>=25.0,2004
3,American Samoa, adults ,pre-obese ,25.0-29.99,2004
4,American Samoa, adults ,pre-obese ,25.0-29.99,2007
5,American Samoa, adults ,underweight ,<18.5,2004
6,American Samoa, females ,obese ,>=30.0,2004
7,American Samoa, females ,obese ,>=30.0,2007
8,American Samoa, females ,overweight ,>=25.0,2004
9,American Samoa, females ,pre-obese ,25.0-29.99,2004
10,American Samoa, females ,pre-obese ,25.0-29.99,2007
11,American Samoa, females ,underweight ,<18.5,2004
12,American Samoa, males ,obese ,>=30.0,2004
13,American Samoa, males ,obese ,>=30.0,2007
14,American Samoa, males ,overweight ,>=25.0,2004
15,American Samoa, males ,pre-obese ,25.0-29.99,2004
16,American Samoa, males ,pre-obese ,25.0-29.99,2007
17,Argentina, females ,normal ,18.5-24.99,2004
18,Argentina, females ,normal ,18.5-24.99,2005
19,Argentina, females ,obese ,>=30.0,2004
20,Argentina, females ,obese ,>=30.0,2005
21,Argentina, females ,overweight ,>=25.0,2004
22,Argentina, females ,overweight ,>=25.0,2005
23,Argentina, females ,pre-obese ,25.0-29.99,2004
24,Argentina, females ,pre-obese ,25.0-29.99,2005
25,Argentina, females ,underweight ,<18.5,2004
26,Argentina, females ,underweight ,<18.5,2005
27,Armenia, females ,moderate and severe thinness ,<=17,2005
28,Armenia, females ,normal ,18.5-24.99,2005
29,Armenia, females ,obese ,>=30.0,2
30,Armenia, females ,obese ,>=30.0,2001
31,Armenia, females ,obese ,>=30.0,2005
32,Armenia, females ,overweight ,>=25.0,2
33,Armenia, females ,overweight ,>=25.0,2001
34,Armenia, females ,overweight ,>=25.0,2005
35,Armenia, females ,pre-obese ,25.0-29.99,2005
36,Armenia, females ,underweight ,<18.5,2005
37,Australia, adults ,normal ,18.5-24.99,1999
38,Australia, adults ,normal ,18.5-24.99,2
39,Australia, adults ,obese ,>=30.0,1999
40,Australia, adults ,obese ,>=30.0,2
41,Australia, adults ,obese ,>=30.0,2001
42,Australia, adults ,obese ,>=30.0,2004
43,Australia, adults ,obese ,>=30.0,2005
44,Australia, adults ,overweight ,>=25.0,1999
45,Australia, adults ,overweight ,>=25.0,2
46,Australia, adults ,overweight ,>=25.0,2001
47,Australia, adults ,overweight ,>=25.0,2004
48,Australia, adults ,overweight ,>=25.0,2005
49,Australia, adults ,pre-obese ,25.0-29.99,1999
